15.9.2.3. Gyõr idõjárási adatai;;;;;;;;
Év;Hónap;Közép- hõmérséklet, °C;Maximális hõmérséklet, °C;Minimális hõmérséklet, °C;Csapadékos nap;Lehullott csapadék, mm;A napsütéses órák száma;Szeles napok száma, szélsebesség>=10 m/s
Havonta;;;;;;;;
2017.;január;-4,6;6,4;-16,3;6;11;134;9
;február;2,8;16,1;-6,9;9;21;90;8
;március;9,2;23,1;-1,8;7;34;..;17
;április;10,4;24,8;0,0;11;39;..;16
;május;16,6;31,2;-0,3;10;43;..;10
;június;22,1;34,4;8,6;10;31;..;13
;július;22,3;35,2;9,4;11;70;..;13
;augusztus;22,6;38,6;7,7;6;33;..;11
;szeptember;15,5;29,3;4,9;14;125;..;10
;október;11,7;24,9;2,3;12;67;..;11
;november;6,1;15,6;-2,9;11;43;..;9
;december;2,7;16,6;-5,7;10;57;..;14
2018.;január;3,7;14,9;-3,1;12;16;..;6
;február;-0,3;13,5;-11,6;14;48;..;3
;március;4,0;18,7;-15,2;13;61;..;8
;április;16,2;29,9;3,0;5;26;..;14
;május;19,1;31,2;8,4;7;43;..;3
;június;21,0;32,0;9,8;12;142;..;9
;július;22,3;34,7;7,6;7;15;..;8
;augusztus;23,0;35,7;9,2;10;92;..;9
;szeptember;17,2;30,6;0,5;8;90;..;6
;október;13,3;25,1;3,0;9;13;..;10
;november;7,0;21,6;-7,7;11;49;..;1
;december;2,2;12,7;-6,2;17;45;..;9
2019.;január;0,1;12,2;-8,4;16;38;..;14
;február;4,3;20,5;-7,8;5;14;..;11
;március;9,1;21,8;-2,8;10;13;..;16
;április;12,6;27,3;-0,9;10;24;..;11
;május;13,0;27,3;0,2;16;111;..;18
;június;23,2;34,7;10,1;7;23;..;5
;július;22,6;36,4;10,2;8;17;..;11
;augusztus;22,8;35,8;11,0;12;49;..;6
;szeptember;16,6;33,7;2,9;7;30;..;6
;október;12,7;28,1;-1,2;7;18;..;12
;november;8,6;22,4;-1,5;17;79;..;8
;december;4,1;17,6;-7,0;12;62;..;13
2020.;január;0,3;14,8;-7,0;8;21;..;4
;február;6,8;17,4;-2,7;15;20;..;23
;március;7,1;22,4;-5,6;9;38;..;16
;április;12,0;25,7;-5,7;4;7;..;6
;május;14,3;27,4;0,7;14;22;..;20
;június;19,4;33,0;8,4;10;56;..;16
;július;21,6;34,9;8,4;11;41;..;8
;augusztus;22,1;33,6;12,0;11;104;..;12
;szeptember;17,0;31,0;3,2;6;56;..;6
;október;11,0;25,9;1,2;13;106;..;11
;november;5,5;16,2;-6,9;7;14;..;1
;december;3,5;11,9;-8,0;10;28;..;8
2021.;január;1,8;15,0;-11,3;18;43;..;11
;február;2,6;20,8;-9,9;10;28;..;5
;március;5,8;23,5;-8,0;5;1;..;16
;április;9,1;25,5;-4,1;13;40;..;18
;május;14,1;29,5;3,7;17;73;..;20
;június;22,4;36,8;5,9;3;9;..;5
;július;23,4;38,3;12,8;11;106;..;8
;augusztus;19,9;33,6;8,3;11;27;..;7
;szeptember;16,7;31,6;7,1;9;26;..;4
;október;10,3;26,7;-1,6;6;32;..;5
;november;5,5;19,4;-3,5;9;26;..;6
;december;2,5;16,5;-7,4;13;34;..;8
Évkezdettõl kumulált;;;;;;;;
2017.;január–december;11,5;38,6;-16,3;117;571;..;141
2018.;január–december;12,4;35,7;-15,2;125;639;..;86
2019.;január–december;12,5;36,4;-8,4;127;476;..;131
2020.;január–december;11,7;34,9;-8,0;118;512;..;131
2021.;január–december;11,2;38,3;-11,3;125;444;..;113
