15.9.2.10. Szeged idõjárási adatai;;;;;;;;
Év;Hónap;Közép- hõmérséklet, °C;Maximális hõmérséklet, °C;Minimális hõmérséklet, °C;Csapadékos nap;Lehullott csapadék, mm ;A napsütéses órák száma ;Szeles napok száma, szélsebesség>=10 m/s 
Havonta;;;;;;;;
2017.;január;-5,2;4,7;-18,3;5;15;123;6
;február;2,9;20,1;-6,7;9;18;99;8
;március;9,5;24,3;-2,2;10;15;217;18
;április;10,9;24,7;-0,2;13;39;208;15
;május;17,2;32,0;2,6;11;35;313;12
;június;22,2;34,5;9,5;12;94;329;16
;július;23,3;36,9;11,0;5;34;384;14
;augusztus;24,1;39,3;8,4;6;17;347;14
;szeptember;17,0;34,4;5,1;8;51;202;16
;október;12,0;25,6;1,7;8;34;213;14
;november;6,5;15,7;-3,7;11;39;112;8
;december;2,9;13,9;-7,0;13;47;107;14
2018.;január;3,2;15,4;-4,2;13;38;101;9
;február;0,8;15,6;-8,9;15;78;60;10
;március;3,9;21,0;-19,6;18;83;99;9
;április;16,4;30,2;5,1;6;10;281;14
;május;20,0;30,7;8,9;8;69;341;16
;június;21,0;32,3;8,2;17;141;252;15
;július;22,3;32,4;7,4;12;56;306;15
;augusztus;24,5;35,0;12,1;7;20;328;8
;szeptember;18,6;34,6;1,0;7;19;286;8
;október;14,1;26,5;1,3;7;11;205;12
;november;7,7;23,5;-6,0;9;21;131;9
;december;1,3;11,3;-12,2;13;28;83;6
2019.;január;-0,2;11,4;-13,6;13;20;86;14
;február;4,1;20,5;-7,9;6;13;175;13
;március;9,3;23,9;-4,7;4;2;236;18
;április;13,3;30,3;3,0;12;58;227;20
;május;14,9;26,5;2,0;20;121;197;15
;június;23,1;33,3;14,1;11;117;323;10
;július;22,0;33,6;8,1;9;30;326;11
;augusztus;24,0;36,9;8,8;5;22;333;9
;szeptember;17,8;34,1;2,3;7;34;250;9
;október;13,0;28,2;-0,7;7;16;234;..
;november;9,7;22,0;-2,9;15;55;94;..
;december;3,7;14,9;-5,4;12;23;67;9
2020.;január;-0,6;11,5;-7,5;9;13;98;4
;február;5,7;18,2;-5,8;13;38;163;17
;március;7,3;23,2;-4,1;11;56;218;17
;április;12,4;27,2;-4,4;5;6;350;13
;május;15,6;29,0;4,0;11;32;264;18
;június;20,3;32,9;7,4;20;98;220;19
;július;21,8;33,6;9,0;13;85;337;10
;augusztus;23,2;36,6;11,1;9;57;326;10
;szeptember;18,9;31,9;4,7;3;22;284;12
;október;12,5;27,1;0,8;14;84;146;10
;november;5,7;16,6;-3,3;9;16;60;3
;december;4,4;14,0;-4,2;12;49;44;10
2021.;január;1,9;13,0;-11,3;13;44;94;13
;február;3,8;20,1;-10,6;9;28;134;9
;március;5,5;19,8;-6,5;10;27;215;17
;április;8,9;23,0;-4,9;13;31;196;19
;május;14,8;28,4;1,5;14;55;281;22
;június;22,4;38,4;6,4;4;18;384;16
;július;25,3;38,1;13,3;8;45;343;21
;augusztus;21,9;37,6;8,6;11;35;311;19
;szeptember;17,6;31,4;6,2;6;32;239;9
;október;10,4;26,1;-1,9;10;32;193;12
;november;6,2;23,6;-4,0;12;50;125;12
;december;2,3;15,2;-6,3;15;57;74;12
Évkezdettõl kumulált;;;;;;;;
2017.;január–december;11,9;39,3;-18,3;111;438;2 654;155
2018.;január–december;12,8;35,0;-19,6;132;575;2 472;131
2019.;január–december;12,9;36,9;-13,6;121;511;2 547;..
2020.;január–december;12,3;36,6;-7,5;129;555;2 510;143
2021.;január–december;11,8;38,4;-11,3;125;455;2 588;181
